record_id,document_type,image_filename,extracted_date,extracted_store_or_dept,extracted_amount,extracted_scores,extracted_note,confidence,error_message,preprocessing_used
R-0048,receipt,data/input_images/receipts/receipt_048_R-0048.jpg,2026-05-18,업무자동화카페,95150.0,,,0.9539,,True
S-0052,survey,data/input_images/surveys/survey_052_S-0052.jpg,2026-03-11,기획팀,,"{""satisfaction_score"": 5, ""usability_score"": 5, ""speed_score"": 1}",데이터 보정 기능 좋음,0.786,,True
R-0055,receipt,data/input_images/receipts/receipt_055_R-0055.jpg,2026-03-19,업무자동화카페,91300.0,,,0.8846,,True
S-0044,survey,data/input_images/surveys/survey_044_S-0044.jpg,2026-06-09,데이터팀,,"{""satisfaction_score"": 2, ""usability_score"": 3, ""speed_score"": 5}",이미지 업로드 편리,0.8396,,True
R-0107,receipt,data/input_images/receipts/receipt_107_R-0107.jpg,2026-03-30,스마트오피스,89100.0,,,0.9297,,True
R-0111,receipt,data/input_images/receipts/receipt_111_R-0111.jpg,2026-04-08,테크문구,140250.0,,,0.8034,,True
S-0033,survey,data/input_images/surveys/survey_033_S-0033.jpg,2026-07-09,교육팀,,"{""satisfaction_score"": 5, ""usability_score"": 5, ""speed_score"": 3}",보고서 자동화 유용,0.9556,,True
R-0069,receipt,data/input_images/receipts/receipt_069_R-0069.jpg,2026-07-03,테크문구,191950.0,,,0.7905,,True
R-0087,receipt,data/input_images/receipts/receipt_087_R-0087.jpg,2026-06-05,업무자동화카페,254650.0,,,0.9217,,True
R-0119,receipt,data/input_images/receipts/receipt_119_R-0119.jpg,2026-06-27,모두카페,80300.0,,,0.9841,,True
S-0109,survey,data/input_images/surveys/survey_109_S-0109.jpg,2026-04-14,운영팀,,"{""satisfaction_score"": 4, ""usability_score"": 4, ""speed_score"": 2}",속도 개선 필요,0.9324,,True
R-0005,receipt,data/input_images/receipts/receipt_005_R-0005.jpg,2026-05-14,모두카페,202950.0,,,0.9598,,True
S-0117,survey,data/input_images/surveys/survey_117_S-0117.jpg,2026-03-12,재무팀,,"{""satisfaction_score"": 5, ""usability_score"": 5, ""speed_score"": 3}",데이터 보정 기능 좋음,0.9292,,True
S-0020,survey,data/input_images/surveys/survey_020_S-0020.jpg,2026-04-16,인사팀,,"{""satisfaction_score"": 2, ""usability_score"": 2, ""speed_score"": 1}",입력 절차가 간단함,0.9825,,True
R-0093,receipt,data/input_images/receipts/receipt_093_R-0093.jpg,2026-06-16,업무자동화카페,163900.0,,,0.8344,,True
R-0105,receipt,data/input_images/receipts/receipt_105_R-0105.jpg,2026-04-28,모두카페,126500.0,,,0.9802,,True
S-0096,survey,data/input_images/surveys/survey_096_S-0096.jpg,2026-03-19,재무팀,,"{""satisfaction_score"": 2, ""usability_score"": 2, ""speed_score"": 4}",입력 절차가 간단함,0.9396,,True
S-0097,survey,data/input_images/surveys/survey_097_S-0097.jpg,2026-04-30,영업팀,,"{""satisfaction_score"": 4, ""usability_score"": 2, ""speed_score"": 4}",이미지 업로드 편리,0.8687,,True
S-0115,survey,data/input_images/surveys/survey_115_S-0115.jpg,2026-05-10,데이터팀,,"{""satisfaction_score"": 5, ""usability_score"": 2, ""speed_score"": 4}",데이터 보정 기능 좋음,0.9817,,True
R-0057,receipt,data/input_images/receipts/receipt_057_R-0057.jpg,2026-05-15,업무자동화카페,,,,0.8449,,True
R-0056,receipt,data/input_images/receipts/receipt_056_R-0056.jpg,2026-04-12,데이터랩서점,64350.0,,,0.8416,,True
R-0078,receipt,data/input_images/receipts/receipt_078_R-0078.jpg,2026-04-01,클라우드문구,206800.0,,,0.9752,,True
S-0106,survey,data/input_images/surveys/survey_106_S-0106.jpg,2026-05-19,기획팀,,"{""satisfaction_score"": 5, ""usability_score"": 3, ""speed_score"": 2}",대시보드가 보기 쉬움,0.9669,,True
R-0072,receipt,data/input_images/receipts/receipt_072_R-0072.jpg,2026-05-09,서울프린트,305250.0,,,0.9159,,True
S-0064,survey,data/input_images/surveys/survey_064_S-0064.jpg,2026-04-06,운영팀,,"{""satisfaction_score"": 4, ""usability_score"": 3, ""speed_score"": 5}",메뉴 구성이 좋음,0.9481,,True
R-0115,receipt,data/input_images/receipts/receipt_115_R-0115.jpg,2026-05-10,AI세미나센터,142450.0,,,0.8017,,True
S-0013,survey,data/input_images/surveys/survey_013_S-0013.jpg,2026-05-20,재무팀,,"{""satisfaction_score"": 5, ""usability_score"": 5, ""speed_score"": 3}",보고서 자동화 유용,0.9307,,True
R-0070,receipt,data/input_images/receipts/receipt_070_R-0070.jpg,2026-05-28,그린오피스,91300.0,,,0.9828,,True
R-0024,receipt,data/input_images/receipts/receipt_024_R-0024.jpg,2026-06-28,업무자동화카페,240350.0,,,0.8724,,True
S-0037,survey,data/input_images/surveys/survey_037_S-0037.jpg,2026-05-31,교육팀,,"{""satisfaction_score"": 3, ""usability_score"": 4, ""speed_score"": 3}",속도 개선 필요,0.7901,,True
R-0052,receipt,data/input_images/receipts/receipt_052_R-0052.jpg,2026-03-03,서울프린트,135300.0,,,0.9883,,True
R-0011,receipt,data/input_images/receipts/receipt_011_R-0011.jpg,2026-04-01,모두카페,167750.0,,,0.9462,,True
R-0053,receipt,data/input_images/receipts/receipt_053_R-0053.jpg,2026-05-24,서울프린트,150700.0,,,0.9594,,True
R-0026,receipt,data/input_images/receipts/receipt_026_R-0026.jpg,2026-03-29,스마트오피스,183700.0,,,0.9698,,True
S-0092,survey,data/input_images/surveys/survey_092_S-0092.jpg,2026-06-17,마케팅팀,,"{""satisfaction_score"": 2, ""usability_score"": 2, ""speed_score"": 3}",보고서 자동화 유용,0.8421,,True
R-0062,receipt,data/input_images/receipts/receipt_062_R-0062.jpg,2026-05-22,데이터랩서점,77000.0,,,0.799,,True
R-0010,receipt,data/input_images/receipts/receipt_010_R-0010.jpg,2026-05-08,데이터랩서점,152900.0,,,0.8272,,True
R-0117,receipt,data/input_images/receipts/receipt_117_R-0117.jpg,2026-06-29,스마트오피스,220550.0,,,0.7981,,True
S-0027,survey,data/input_images/surveys/survey_027_S-0027.jpg,2026-04-13,마케팅팀,,"{""satisfaction_score"": 4, ""usability_score"": 5, ""speed_score"": 5}",데이터 보정 기능 좋음,0.9619,,True
S-0104,survey,data/input_images/surveys/survey_104_S-0104.jpg,2026-04-26,마케팅팀,,"{""satisfaction_score"": 5, ""usability_score"": 2, ""speed_score"": 5}",데이터 보정 기능 좋음,0.9868,,True
S-0045,survey,data/input_images/surveys/survey_045_S-0045.jpg,2026-06-25,데이터팀,,"{""satisfaction_score"": 3, ""usability_score"": 5, ""speed_score"": 3}",모바일 화면 개선,0.9318,,True
R-0106,receipt,data/input_images/receipts/receipt_106_R-0106.jpg,2026-06-25,AI세미나센터,86350.0,,,0.9669,,True
